"type","x"
"1","Actinobacteria",12
"2","Aquificae",10
"3","Bacillariophyta",47
"4","Bacteroidetes",7
"5","Balneolaeota",2
"6","Chloroflexi",5
"7","Chlorophyta",16
"8","Crenarchaeota",7
"9","Cyanobacteria",13
"10","Cyanophyta",12
"11","Deferribacteres",2
"12","Deinococcus-Thermus",7
"13","Euryarchaeota",146
"14","Firmicutes",138
"15","Haptophyta",5
"16","Ochrophyta",5
"17","Planctomycetes",2
"18","Proteobacteria",111
"19","Spirochaetes",5
"20","Streptophyta",18
"21","Synergistetes",3
"22","Thermodesulfobacteria",4
"23","Thermotogae",13
