"ConPhylum","Intercept","Slope","R2","E"
"1","Firmicutes",-24.99980663,0.397489565,0.11443725,0.397489565
"2","Proteobacteria",-10.34272764,-0.003106381,1.1e-05,0.003106381
"3","Synergistetes",-81.12835614,1.923841848,0.817557503,1.923841848
"4","Chlorophyta",-111.6872723,2.604438411,0.405295083,2.604438411
"5","Spirochaetes",-8.572637745,-0.085883371,0.011582305,0.085883371
"6","Bacillariophyta",4.132476842,-0.387367262,0.406094048,0.387367262
"7","Cyanobacteria",-8.66151417,-0.084020798,0.008656495,0.084020798
"8","Cyanophyta",2.55035859,-0.377448942,0.139417706,0.377448942
"9","Chloroflexi",-19.54726615,0.167541362,0.044574274,0.167541362
"10","Euryarchaeota",-7.375053281,-0.122404031,0.02158807,0.122404031
"11","Balneolaeota",-31.30912369,0.546616099,1,0.546616099
"16","Streptophyta",17.32650711,-0.759532216,0.411039738,0.759532216
"17","Actinobacteria",-6.309175993,-0.128561936,0.010192804,0.128561936
"19","Deferribacteres",98.36680015,-3.071677692,1,3.071677692
"20","Deinococcus-Thermus",-6.331396174,-0.081121718,0.005711665,0.081121718
"22","Ochrophyta",26.71679435,-0.983560032,0.843736956,0.983560032
"23","Bacteroidetes",-17.19241652,0.136536379,0.035698524,0.136536379
"25","Haptophyta",30.23770648,-1.057654676,0.379115313,1.057654676
"27","Aquificae",-48.8575491,1.099721314,0.052584405,1.099721314
"28","Crenarchaeota",-30.06423945,0.51239789,0.018506703,0.51239789
"29","Planctomycetes",-16.57727998,0.139514489,1,0.139514489
"30","Thermotogae",78.11984416,-2.58212252,0.475287835,2.58212252
"34","Thermodesulfobacteria",35.80799323,-1.433924654,0.895517645,1.433924654
